Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber 1,Viber 2,Telegram,YouTube,Широта,Долгота,2GIS URL
Вятич Спорт,бар,Бары; Кафе,"улица Труда, 74",1 этаж,610046,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,4.6,11,88332440951,,,,http://вятичбар.рф,,,https://vk.com/vyatichbar,,,,,,,58.608017,49.658813,https://2gis.com/firm/70000001007531275
Best,бильярдный клуб,Бильярдные залы; Бары; Кафе,"улица Лепсе, 4/2",2 этаж,610006,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+03:00,2.9,15,88332587414,,,,,,,https://vk.com/club48422757,,,,,,,58.623942,49.645691,https://2gis.com/firm/8163302605599114
ABC,коктейльный бар,Бары; Кафе,"Пятницкая улица, 56",1 этаж,610020,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,"Пн: 11:00-16:00; Вт: 11:00-16:00; Ср: 11:00-16:00, 19:00-02:00; Чт: 11:00-16:00, 19:00-02:00; Пт: 11:00-16:00, 19:00-04:00; Сб: 19:00-04:00; Вс: 19:00-02:00",+03:00,4.0,21,88332796196 (служба бронирования),,,,,,,https://vk.com/cocktailbar_abc,,,,,,,58.606556,49.666137,https://2gis.com/firm/70000001053194759
Govinda`s,вегетарианское кафе,Кафе; Доставка готовых блюд,"Спасская улица, 12",цокольный этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+03:00,4.9,23,88332759656,,,,,,,https://vk.com/vedobed,,,,,,,58.601988,49.679101,https://2gis.com/firm/70000001021128849
Krn,,Бары; Кафе; Рестораны,"улица Романа Ердякова, 50 ст1",,610042,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+03:00,3.5,19,88332422477,89229822477,,,,,,https://vk.com/krn_bar,,,,,,,58.617438,49.633794,https://2gis.com/firm/70000001040629971
Армянский дворик,кафе,Быстрое питание; Доставка готовых блюд,"улица Щорса, 79",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,4.8,73,89583969696,,,,,,,https://vk.com/armianskii_dvorik_kirov,,,,,,,58.577911,49.605064,https://2gis.com/firm/70000001030306111
Шоколадница,кофейня,Кофейни,"Спасская улица, 18а",,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.2,51,88332253555 (многоканальный),,,,http://shoko.ru,http://shokokirov.ru,,https://vk.com/shokokirov,,,,,,,58.60193,49.67434,https://2gis.com/firm/70000001026030804
Crystal,кафе,Кафе,"улица Щорса, 23 к2",,610014,Дружба м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 14:00-23:00; Вт: 14:00-23:00; Ср: 14:00-23:00; Чт: 14:00-23:00; Пт: 14:00-05:00; Сб: 14:00-05:00; Вс: 14:00-23:00,+03:00,3.8,5,88332566688,,,,http://кафе-кристал.рф,,,https://vk.com/crystalkirov,,,,,,,58.579737,49.633849,https://2gis.com/firm/8163302605586555
Вятич Спорт,бар,Бары; Кафе,"улица Воровского, 117",1 этаж,610033,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,4.7,6,88332430258,,,,http://вятичбар.рф,,,https://vk.com/vyatichbar,,,,,,,58.597401,49.614273,https://2gis.com/firm/70000001021801153
Rush,кибер-бар,Компьютерные клубы; Кафе,"Казанская улица, 75а",цокольный этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:30-23:00; Вт: 11:30-23:00; Ср: 11:30-23:00; Чт: 11:30-23:00; Пт: 11:30-23:00; Сб: 11:30-23:00; Вс: 11:30-23:00,+03:00,,,88332442525,,,,http://mssg.me/rush_cyber_bar,,,https://vk.com/rush_cyber_bar,,,,,https://t.me/rush43,,58.604853,49.683998,https://2gis.com/firm/70000001063798446
Вятич Спорт,бар,Бары; Кафе,"Уральская улица, 14",цокольный этаж,610016,ОЦМ м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,2.2,9,88332411160,,,,http://вятичбар.рф,,,https://vk.com/vyatichbar,,,,,,,58.632685,49.625777,https://2gis.com/firm/8163303606070644
Rainero,кафе-пиццерия,Пиццерии; Кафе,"Московская улица, 24",,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,3.8,36,89229775775,,,,http://pizzeria-rainero.ru,,,https://vk.com/pizza_rainero,https://wa.me/79229775775,,viber://chat/?number=79229775775,,,,58.603591,49.674508,https://2gis.com/firm/70000001036010406
Пузата Хата,кафе-столовая,Столовые; Банкетные залы; Конференц-залы / Переговорные комнаты; Кафе,"улица Блюхера, 12",,610002,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-23:00; Сб: 07:30-23:00; Вс: 07:30-23:00,+03:00,3.0,35,89123762325,,,,,,,https://vk.com/id618212269,https://wa.me/79123762325,,viber://chat/?number=79123762325,,,,58.584265,49.68363,https://2gis.com/firm/70000001046430044
Наша Дача 2,кафе-караоке,Кафе; Караоке-залы; Банкетные залы; Организация и проведение праздников,"улица Луначарского, 3",,610004,сл. Дымково,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+03:00,3.0,7,88332448778,89127348778,,,,,,https://vk.com/nasha_dacha_448778,https://wa.me/79127348778,,viber://chat/?number=79127348778,,https://t.me/+79127348778,,58.614374,49.696429,https://2gis.com/firm/70000001042939736
Тот самый бар,,Бары; Кафе; Пиццерии,"улица Щорса, 39а",,610014,Дружба м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,4.0,6,88332440852,89127340852,,feedback.vyatichbar@gmail.com,http://вятичбар.рф,,,https://vk.com/totsamyibar43,https://wa.me/79128260042,,viber://chat/?number=79128260042,,,,58.577914,49.626624,https://2gis.com/firm/70000001046181566
Пиросмани,кафе грузинской кухни,Кафе; Доставка готовых блюд,"улица Свободы, 155",1 этаж,610002,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.2,39,88332464443,89128264443,,,,,,https://vk.com/pirosmani43,,,,,,,58.583527,49.678945,https://2gis.com/firm/70000001044670837
PRB,панк-рок бар,Бары; Кафе,"Пристанская улица, 1",,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Ср: 18:00-02:00; Чт: 18:00-02:00; Пт: 18:00-06:00; Сб: 18:00-06:00; Вс: 18:00-02:00,+03:00,4.0,1,89226699112,,,,,,,https://vk.com/prb_kirov,,,,,,,58.608057,49.689485,https://2gis.com/firm/70000001059979833
Фабрика кухня,кафе,Кафе,"улица Ленина, 198 к2",цокольный этаж,610007,Солнечный берег м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,3.4,14,88332411112 (бронирование столиков),88332205000 (банкетная служба),89226622616 (служба доставки),,,,,https://vk.com/fabricakuhnya,https://wa.me/79226622616,,,,,,58.56466,49.686365,https://2gis.com/firm/70000001045015876
Армянский дворик,кафе,Быстрое питание; Доставка готовых блюд,"улица Екатерины Кочкиной, 3Б",1 этаж,610045,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,4.5,27,89583969696,,,,,,,https://vk.com/armianskii_dvorik_kirov,,,,,,,58.596097,49.601005,https://2gis.com/firm/70000001050907809
Пять вечеров,кафе,Кафе,"улица Горбачёва, 62",цокольный этаж,610017,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:30-23:00; Вт: 11:30-23:00; Ср: 11:30-23:00; Чт: 11:30-23:00; Пт: 11:30-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+03:00,4.6,9,88332410537,88332415537,89091321436,,,,,,https://wa.me/79091321436,,,,,,58.596163,49.669364,https://2gis.com/firm/70000001020410070
Книжный клуб 12,кофейня,Кофейни,"Преображенская улица, 15",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.9,21,88332221212,,,,,,https://twitter.com/dvenadzach,https://vk.com/clubbook12,,,,,,,58.605576,49.679137,https://2gis.com/firm/8163302605626673
Данар-Мангал,кафе,Быстрое питание,"улица Щорса, 62/5",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.0,102,88332535353,,,,http://danar.ru,,,https://vk.com/danar_kirov,,,,,,,58.577263,49.604688,https://2gis.com/firm/70000001047214473
Уют-Компания,кафе,Кафе; Столовые; Банкетные залы,"Московская улица, 112",1 этаж; холдинг Здрава,610033,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:45-15:00; Вт: 11:45-15:00; Ср: 11:45-15:00; Чт: 11:45-15:00; Пт: 11:45-15:00,+03:00,4.0,4,88332568028,,,,http://кафеуют.рф,,,https://vk.com/club59423596,,,,,,,58.601313,49.621462,https://2gis.com/firm/8163302605592928
Метелица,кафе,Кафе; Банкетные залы; Столовые,"улица Менделеева, 12",1 этаж,610050,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-17:00; Вс: 08:00-17:00,+03:00,2.6,17,88332523874 (склад),88332514506 (отдел бухгалтерии),,,,,,,,,,,,,58.605914,49.603624,https://2gis.com/firm/8163302605590516
Прага,кафе,Кафе,"улица Щорса, 68/2",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,5.0,1,88332461005,89128261005,,,,,,,https://wa.me/79127349191,,,,,,58.577299,49.592261,https://2gis.com/firm/70000001019104227
Ах-Тамара,кафе,Кафе,"улица Володарского, 168",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+03:00,3.1,11,88332775464,,,,,,,,,,,,,,58.587983,49.673978,https://2gis.com/firm/8163302605587400
Вятич Спорт,бар,Бары; Кафе,"проспект Строителей, 17",,610045,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,5.0,2,88332440938,,,,http://вятичбар.рф,,,https://vk.com/vyatichbar,,,,,,,58.595578,49.589972,https://2gis.com/firm/8163302605619449
Бильярд-Холл,,Бильярдные залы; Бары; Спортивно-развлекательное оборудование / Аксессуары; Кафе; Банкетные залы,"улица Горького, 5а",4 этаж; около касс киноцентра Кино Jam,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+03:00,3.7,27,88332268888,89635534003 (отдел продаж),,,,,,https://vk.com/billiard_holl_kirov,https://wa.me/79635534003,,,,,,58.598956,49.647596,https://2gis.com/firm/8163302605734130
Шансон,кафе,Кафе,"улица Василия Жуковского, 6г/1",,610047,Филейка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-06:00; Вт: 10:00-06:00; Ср: 10:00-06:00; Чт: 10:00-06:00; Пт: 10:00-06:00; Сб: 10:00-06:00; Вс: 10:00-06:00,+03:00,2.5,4,88332208308,88332492661,,,,,,,,,,,,,58.641662,49.611033,https://2gis.com/firm/8163302605719575
Голос,клуб,Кафе; Караоке-залы; Бары,"Украинская улица, 18",2 этаж,610025,Новый м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 18:00-06:00; Вт: 18:00-06:00; Ср: 18:00-06:00; Чт: 18:00-06:00; Пт: 18:00-06:00; Сб: 18:00-06:00; Вс: 18:00-06:00,+03:00,5.0,2,88332267667,,,,,,,,,,,,,,58.570077,49.651879,https://2gis.com/firm/8163303605998493
АвтоПорт,кафе,Кафе; Банкетные залы; Бары,"трасса Киров-Котельнич, 2а",1 этаж,613635,,,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,5.0,14,88332440606,88332661111,,,http://cafe.motor92.ru,,,https://vk.com/avtoport43,,,,,,,58.681987,49.641601,https://2gis.com/firm/8163302605586893
Blad Baher,пивной бар,Бары; Кафе,"улица Набережная Грина, 1",1 этаж,610004,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,3.1,8,88332206308,,,,http://bladbaher.ru,,,,,,,,,,58.613615,49.684817,https://2gis.com/firm/8163302605682808
Brave,лаундж-бар,Рестораны; Бары; Кафе,"улица Воровского, 12",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+03:00,3.9,7,88332460600,89128260600,,,,,,,,,,,,,58.593884,49.678337,https://2gis.com/firm/70000001040527630
Кабинет Чарушин,,Бары; Кафе; Банкетные залы,"улица Ленина, 80",2 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,3.3,3,88332651930,,,,http://restoran-rossia.ru,,,https://vk.com/restaurantrussia,https://wa.me/79128279191,,,,,,58.603994,49.682313,https://2gis.com/firm/8163302605586644
Сушилка,удобные кафе,Доставка готовых блюд; Кафе; Суши-бары; Пиццерии,"Советская улица, 28а",1 этаж,610008,,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.9,75,88332440026 (кафе),,,,http://sushi-pizzi.ru/?utm_source=2gis&utm_medium=link,,,https://vk.com/sushipizzi,,,,,,,58.508951,49.702652,https://2gis.com/firm/8163303605979971
Летяга,,Кафе; Доставка готовых блюд,"Краснополянская улица, 11",,610050,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-22:00,+03:00,1.0,2,88332795121,89539415121,,,http://летягасуши.рф,,,https://vk.com/letyagasushi,https://wa.me/79539415121,,,,,,58.601962,49.573643,https://2gis.com/firm/70000001067316455
Бладбахер,бар,Бары; Кафе,"проспект Строителей, 5",1 этаж,610010,мкр. Радужный,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Чт: 18:00-02:00; Пт: 18:00-05:00; Сб: 18:00-05:00; Вс: 18:00-02:00,+03:00,3.0,3,88332745735,,,,,,,https://vk.com/bladbaherradyzhny,,,,,,,58.502928,49.653546,https://2gis.com/firm/70000001034866813
Dерzкий енот,бар,Бары; Доставка готовых блюд; Кафе,"улица Ломоносова, 25",,610050,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пт: 21:00-06:00; Сб: 21:00-06:00,+03:00,4.6,37,88332250425,,,,,,,https://vk.com/derzkiyenot,,,,,,,58.608109,49.609624,https://2gis.com/firm/70000001020135059
Кавказская кухня,кафе,Кафе,"улица Воровского, 107в",2 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-03:00; Сб: 11:00-03:00; Вс: 11:00-01:00,+03:00,0.0,1,88332261726,89005261726,,,,,,https://vk.com/public215511716,,,,,,,58.593758,49.628671,https://2gis.com/firm/70000001065532520
SHAU,кафе,Быстрое питание; Доставка готовых блюд,"улица Ленина, 184/1",цокольный этаж,610007,Зональный м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.7,115,88332711744,,,shau_kirov@mail.ru,http://шау.рф,,,https://vk.com/shau_kirov,,,,,,,58.57297,49.687526,https://2gis.com/firm/70000001055223212
Кавказская пленница,кафе,Кафе,"Боровая улица, 35",,,,,,Слободской район,Кировская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-22:00,+03:00,4.0,5,89128272001,,,,,,,,,,,,,,58.664368,49.778775,https://2gis.com/firm/70000001035301101
Восток,кафе,Кафе,"улица Слобода Лосево, 52а",1 этаж,610008,сл. Лосево,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-04:00; Сб: 11:00-04:00; Вс: 11:00-23:00,+03:00,3.0,3,88332352248,,,,,,,,,,,,,,58.552041,49.686409,https://2gis.com/firm/8163302605593255
Bar FUF,,Бары; Кафе; Ночные клубы,"Казанская улица, 66",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+03:00,4.3,3,89536886975,,,ru.mk@mail.ru,,,,https://vk.com/r_oute66,https://wa.me/79536886975,,viber://chat/?number=79536886975,,https://t.me/rout_66,,58.597928,49.684935,https://2gis.com/firm/70000001044674270
Глобус,Кафе,Бары; Кафе,"улица Воровского, 135Б",,610021,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+03:00,3.0,2,88332439531,,,,http://s-globus.ru,,https://twitter.com/globus_kino,https://vk.com/rcglobus,,,,,,,58.597369,49.605342,https://2gis.com/firm/70000001061790776
7 Холмов,кафе,Кафе,"улица Молодой Гвардии, 84г",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:30-21:00; Вт: 07:30-21:00; Ср: 07:30-21:00; Чт: 07:30-21:00; Пт: 07:30-21:00; Сб: 07:30-21:00; Вс: 07:30-21:00,+03:00,5.0,2,88332547166,,,,,,,https://vk.com/id258110957,,,,,,,58.597187,49.651811,https://2gis.com/firm/70000001017524141
Status,караоке-клуб,Бары; Кафе; Караоке-залы; Ночные клубы,"Красноармейская улица, 18а",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Вт: 18:00-07:00; Ср: 18:00-07:00; Чт: 18:00-07:00; Пт: 17:00-07:00; Сб: 17:00-07:00; Вс: 18:00-07:00,+03:00,2.6,5,88332746414,,,,,,,https://vk.com/karaokeclubstatus,https://wa.me/79635528727,,,,,,58.591576,49.678595,https://2gis.com/firm/70000001039857755
Кафе кавказской кухни,,Кафе,"улица Молодой Гвардии, 42в",2 этаж,610017,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,5.0,3,88332261926,,,,,,,,,,,,,,58.598075,49.670455,https://2gis.com/firm/70000001052808349
Комфорт,кафе-столовая,Кафе; Столовые; Банкетные залы,"улица Горького, 1/1",,610046,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-16:00,+03:00,4.9,9,88332646617,88332436617,,,,,,,,,,,,,58.602053,49.649609,https://2gis.com/firm/8163302605589906
Coffee Like,кофе-бар,Кофейни,"Октябрьский проспект, 117",1 этаж; левое крыло,610046,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,32,88003334130,83412908292,,,http://coffee-like.com/?utm_source=pinbox&utm_medium=cpc&utm_campaign=geo#кофе,,,https://vk.com/coffeelike43,https://wa.me/79120109900,,viber://chat/?number=79120109900,,,,58.604365,49.656841,https://2gis.com/firm/70000001037281517
Кочегарка,бар,Бары; Кафе; Банкетные залы,"Советская улица, 11г/1",1 этаж,610008,,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+03:00,5.0,4,88332219988,,,,,,,https://vk.com/kochegarka_rf,,,,,,,58.514083,49.68938,https://2gis.com/firm/70000001007265479
SHAU,кафе,Быстрое питание; Доставка готовых блюд,"улица Романа Ердякова, 25",,610046,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-22:00,+03:00,4.5,180,88332711744,,,shau_kirov@mail.ru,http://шау.рф,,,https://vk.com/shau_kirov,,,,,,,58.617069,49.633327,https://2gis.com/firm/70000001037233431
E-Cafe,,Кафе; Доставка готовых блюд,"улица Ивана Попова, 64а",цокольный этаж,610025,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+03:00,5.0,1,88332499949,,,,http://e-kafe.ru/,,,https://vk.com/ecafekirov,,,,,,,58.564617,49.643432,https://2gis.com/firm/70000001063774512
Блин Да Мёд,кафе,Быстрое питание,"Краснополянская улица, 12",4 помещение; цокольный этаж,610050,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+03:00,3.8,17,88332266132,,,,,,,https://vk.com/club171755162,,,,,,,58.601155,49.571669,https://2gis.com/firm/70000001034629485
Бутик вкусной еды,кафе,Кафе; Доставка готовых блюд; Диетические / соевые продукты; Кейтеринг,"Краснополянская улица, 6",цокольный этаж,610050,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.2,18,89828140260,,,,http://butik43.ru,,,https://vk.com/club204348382,,,,,,,58.601492,49.574512,https://2gis.com/firm/70000001054557345
Дубровский,кафе,Кафе; Банкетные залы; Кейтеринг,"Боровицкая улица, 36Б",,610902,,,,Киров городской округ,Кировская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,4.3,4,88332732508,89229932508,89127333098 (кейтеринг),,http://parkdubrovsky.ru,,,https://vk.com/dubrovskiyparkkirov,https://wa.me/79229932508,,,,https://t.me/+79229932508,,58.607564,49.812628,https://2gis.com/firm/8163302605627041
