Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,Веб-сайт,ВКонтакте,WhatsApp,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Лебедь,семейно-оздоровительный центр,Базы отдыха; Бани / Сауны; Аренда беседок; Кейтеринг,"Лебедь, 1",,612273,,,,Орловский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (нерабочие месяцы: сентябрь-апрель),+03:00,,,89226680346,,,,https://vk.com/bazalebed,,,,,58.651424,49.05122,https://2gis.com/firm/70000001006140011
Добрый кот,база отдыха,Базы отдыха; Бани / Сауны; Аренда беседок,"Рождественская улица, 2",,,,,,Оричевский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,1,88332442636,89127342636,,,https://vk.com/dobriykot43,,viber://chat/?number=79127342636,,,58.28531,49.532021,https://2gis.com/firm/70000001054755468
Podkova house,база семейного отдыха,Базы отдыха,"Воробьи д, 34",,,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи: пн-вс),+03:00,4.9,14,89229953107,,,,https://vk.com/podkova_house,,,,,58.718796,50.166651,https://2gis.com/firm/70000001044908660
Сосновый берег,,Аренда коттеджей / гостевых домов,"Солнечная улица, 25",,613008,,,,Кирово-Чепецкий район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332444515,,,,,,,,,58.427468,49.323584,https://2gis.com/firm/70000001054557357
Базилик,территория отдыха,Базы отдыха; Бани / Сауны; Организация и проведение праздников; Лыжные базы / Горнолыжные комплексы; Прокат спортивного инвентаря / техники,"посёлок Колос, 2",,,,,,Оричевский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89195178652,,,http://базилик43.рф,,,,,,58.2652,49.528082,https://2gis.com/firm/70000001046093067
Русский двор,гостевой дом,Аренда коттеджей / гостевых домов,"квартал Боёво, 27",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,5.0,1,89097173034,,,,https://vk.com/club133288558,,,,,58.540684,50.070707,https://2gis.com/firm/70000001039154352
Серебряные Ручьи,,Базы отдыха,"деревня Назаровы, 15а",,,,,,Орловский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89195079620,,,,https://vk.com/serebryanye_ruchi,https://wa.me/79195079620,,,,58.574852,48.944625,https://2gis.com/firm/70000001044152114
Лесной Кордон,,Базы отдыха,"Заречная улица, 16/1",,,,,,Куменский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332424565,,,,https://vk.com/lesnoi_kordon43,,,,,58.201413,49.503367,https://2gis.com/firm/70000001039991237
Хвоя,глэмпинг-отель,Бани / Сауны; Базы отдыха,,,,,,,Белохолуницкий район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89127173222,,,http://hvoya-glamp.ru,,https://wa.me/79127173222,,https://t.me/+79127173222,,58.875408,50.920074,https://2gis.com/firm/70000001067421604
Турбаза.Ру,интернет-портал бронирования баз отдыха,Информационные сервисы,,,,,,Киров,Киров городской округ,Кировская область,Россия,,+03:00,,,88003333637,,,http://turbaza.ru,,,,,,,,https://2gis.com/firm/70000001033183312
Гостевой дом,,Аренда коттеджей / гостевых домов,"улица Зеленая, 8",,,,,,Куменский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89127327069,,,,,https://wa.me/79127327069,viber://chat/?number=79127327069,https://t.me/+79127327069,https://youtube.com/channel/UC8xkRrvWfU74Kltk4TQKqnw,58.194176,49.518384,https://2gis.com/firm/70000001059911117
