Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,E-mail,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Bar FUF,,Бары; Кафе; Ночные клубы,"Казанская улица, 66",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+03:00,4.3,3,89536886975,,ru.mk@mail.ru,,,,https://vk.com/r_oute66,https://wa.me/79536886975,,viber://chat/?number=79536886975,https://t.me/rout_66,,58.597928,49.684935,https://2gis.com/firm/70000001044674270
Blad Baher,пивной бар,Бары; Рестораны,"улица Чапаева, 48а",2 этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-05:00; Сб: 14:00-05:00; Вс: 14:00-02:00,+03:00,3.2,28,88332206305,,,http://bladbaher.ru,,,https://vk.com/bladbaher_na_chapaeva,,,,,,58.580599,49.64843,https://2gis.com/firm/70000001032629231
Krn,бар,Бары; Кафе; Рестораны,"улица Романа Ердякова, 50 ст1",,610042,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+03:00,3.4,19,88332422477,89229822477,,,,,https://vk.com/krn_bar,,,,,,58.617438,49.633794,https://2gis.com/firm/70000001040629971
Status,караоке-клуб,Бары; Кафе; Караоке-залы; Ночные клубы,"Красноармейская улица, 18а",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Вт: 18:00-07:00; Ср: 18:00-07:00; Чт: 18:00-07:00; Пт: 17:00-07:00; Сб: 17:00-07:00; Вс: 18:00-07:00,+03:00,2.6,5,88332746414,,,,,,https://vk.com/karaokeclubstatus,https://wa.me/79635528727,,,,,58.591576,49.678595,https://2gis.com/firm/70000001039857755
Best,бильярдный клуб,Бильярдные залы; Бары; Кафе,"улица Лепсе, 4/2",2 этаж,610006,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+03:00,2.9,15,88332587414,,,,,,https://vk.com/club48422757,,,,,,58.623942,49.645691,https://2gis.com/firm/8163302605599114
Шафран,кафе-бар,Кафе; Бары,"улица Ленина, 170Б",3 этаж,610007,Зональный м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+03:00,3.7,6,88332448068,,,,,,https://vk.com/cafebarshafran,,,,,,58.575611,49.685355,https://2gis.com/firm/70000001045046402
Депо,диско-бар,Бары; Кафе,"Октябрьский проспект, 75",,610006,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-24:00,+03:00,2.0,3,89128250833,,,,,,https://vk.com/depo75,,,,,,58.621374,49.653434,https://2gis.com/firm/8163302605619448
Beer House,магазин,Магазины разливного пива; Снековая продукция; Бары,"Октябрьский проспект, 62",1 этаж,610046,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-22:00,+03:00,2.6,5,89531389649,89005201283,,,,,https://vk.com/club100501909,,,,,,58.605793,49.657806,https://2gis.com/firm/70000001018750598
Diamond,лаундж-бар,Бары,"Октябрьский проспект, 77",2 этаж,610006,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 14:00-02:00; Вс: 14:00-24:00,+03:00,5.0,4,89583900384,88332758003,,,,,https://vk.com/diamond_loundge_43,,,,,,58.621104,49.653522,https://2gis.com/firm/70000001045399041
Живое пиво,бар,Бары,"улица Карла Маркса, 41",цокольный этаж,610020,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,2.5,6,,,,,,,,,,,,,58.610203,49.667046,https://2gis.com/firm/8163303606220660
Вятич Спорт,бар,Бары; Кафе,"улица Воровского, 117",1 этаж,610033,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,4.7,6,88332430258,,,http://вятичбар.рф,,,https://vk.com/vyatichbar,,,,,,58.597401,49.614273,https://2gis.com/firm/70000001021801153
Хорошее Заведение,кафе-бар,Кафе; Бары,"Пятницкая улица, 102",цокольный этаж,610046,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,2.0,1,,,,,,,,,,,,,58.606397,49.650473,https://2gis.com/firm/70000001021293247
Аура,кафе-бар,Бары,"улица Свободы, 158",цокольный этаж,610002,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.3,6,,,,,,,,,,,,,58.583487,49.679761,https://2gis.com/firm/70000001054573147
Самое Популярное Кафе Север,,Кафе; Бары; Доставка готовых блюд; Банкетные залы,"улица Свердлова, 31",,610047,Филейка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-03:00; Сб: 12:00-03:00; Вс: 12:00-21:00,+03:00,4.0,46,88007000025 (единая справочная: круглосуточно),,,http://spkcafe.ru,,,https://vk.com/spkkirov,,,,,https://youtube.com/channel/UCvfKTl5Nj5Wa668LlcKVW7Q,58.638304,49.623929,https://2gis.com/firm/70000001035007530
Сатир,бар,Бары,"улица Ленина, 105а",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 16:00-23:00; Вт: 16:00-23:00; Ср: 16:00-23:00; Чт: 16:00-23:00; Пт: 16:00-02:00; Сб: 16:00-02:00; Вс: 16:00-24:00,+03:00,,,89642554636,,,,,,,,,,,,58.592966,49.680632,https://2gis.com/firm/70000001068928676
Тот самый бар,,Бары; Кафе; Пиццерии,"улица Щорса, 39а",,610014,Дружба м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,4.0,6,88332440852,89127340852,feedback.vyatichbar@gmail.com,http://вятичбар.рф,,,https://vk.com/totsamyibar43,https://wa.me/79128260042,,viber://chat/?number=79128260042,,,58.577914,49.626624,https://2gis.com/firm/70000001046181566
16,бильярдный клуб,Бильярдные залы; Кафе; Бары,"улица Ленина, 198 к1",цокольный этаж,610007,Солнечный берег м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-02:00,+03:00,4.1,12,88332730155,,,,,,https://vk.com/bcl16,,,,,,58.565994,49.686612,https://2gis.com/firm/70000001019679196
Гринвич,харчевня,Бары; Кафе,"Пролетарская улица, 22Б",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,1,,,,,,,,,,,,,58.589367,49.675927,https://2gis.com/firm/8163302605588364
Катерина,бар,Бары,"улица Ленина, 112а",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,,,89123338812,,,,,,,https://wa.me/79123338812,,,,,58.589951,49.68226,https://2gis.com/firm/70000001068933997
Вятич Спорт,бар,Бары; Кафе,"Уральская улица, 14",цокольный этаж,610016,ОЦМ м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,2.2,9,88332411160,,,http://вятичбар.рф,,,https://vk.com/vyatichbar,,,,,,58.632685,49.625777,https://2gis.com/firm/8163303606070644
Светлое & Тёмное,магазин-бар,Магазины разливного пива; Бары,"Заводская улица, 10",,610004,,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-23:00,+03:00,1.0,2,,,,,,,https://vk.com/svetloeitemnoekirov,,,,,,58.627867,49.673589,https://2gis.com/firm/70000001056715909
Dерzкий енот,бар,Бары; Доставка готовых блюд; Кафе,"улица Ломоносова, 25",,610050,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пт: 21:00-06:00; Сб: 21:00-06:00,+03:00,4.6,37,88332250425,,,,,,https://vk.com/derzkiyenot,,,,,,58.608109,49.609624,https://2gis.com/firm/70000001020135059
Все свои,бар,Бары,"улица Сурикова, 40",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+03:00,5.0,2,88332782732,,,,,,https://vk.com/showlifegroup,,,,,,58.580965,49.63879,https://2gis.com/firm/70000001038571560
Голос,клуб,Кафе; Караоке-залы; Бары,"Украинская улица, 18",2 этаж,610025,Новый м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 18:00-06:00; Вт: 18:00-06:00; Ср: 18:00-06:00; Чт: 18:00-06:00; Пт: 18:00-06:00; Сб: 18:00-06:00; Вс: 18:00-06:00,+03:00,5.0,2,88332267667,,,,,,,,,,,,58.570077,49.651879,https://2gis.com/firm/8163303605998493
Глобус,Кафе,Бары; Кафе,"улица Воровского, 135Б",,610021,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+03:00,3.0,2,88332439531,,,http://s-globus.ru,,https://twitter.com/globus_kino,https://vk.com/rcglobus,,,,,,58.597369,49.605342,https://2gis.com/firm/70000001061790776
Symposium,ресторан,Рестораны; Бары,"улица Красина, 10",1 этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.2,6,88332442150,,,http://symposiumkirov.ru,,,,,,,,,58.578985,49.642023,https://2gis.com/firm/8163303606008304
Красная жара,паб,Бары; Быстрое питание,"улица Воровского, 159",цокольный этаж,610048,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,1.0,1,89127286982,,,,,,https://vk.com/public117898812,https://wa.me/79127286982,,,,,58.597199,49.590986,https://2gis.com/firm/70000001021597081
Хмельная кружка,,Бары,"улица Некрасова, 18",1 этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-22:00; Вт: 06:00-22:00; Ср: 06:00-22:00; Чт: 06:00-22:00; Пт: 06:00-22:00; Сб: 06:00-22:00; Вс: 06:00-22:00,+03:00,,,89823821586,89127393640,,,,,,https://wa.me/79823821586,,,,,58.582424,49.647769,https://2gis.com/firm/70000001039872760
Легенда,спорт-бар,Бары,"Студенческий проезд, 3а",,610033,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.1,7,88332206880,89642506880,,,,,https://vk.com/club206420998,https://wa.me/79642506880,,viber://chat/?number=79642506880,,,58.608008,49.616843,https://2gis.com/firm/70000001055537032
Нептун,кафе-бар,Кафе; Бары,"улица Ленина, 164 к5",1 этаж,610007,Зональный м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-24:00; Сб: 06:00-24:00; Вс: 06:00-23:00,+03:00,5.0,1,88332356677,,,,,,,,,,,,58.576154,49.690682,https://2gis.com/firm/8163302605590776
Вятич Спорт,бар,Бары; Кафе,"проспект Строителей, 17",,610045,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,5.0,2,88332440938,,,http://вятичбар.рф,,,https://vk.com/vyatichbar,,,,,,58.595578,49.589972,https://2gis.com/firm/8163302605619449
Светлое & Тёмное,магазин-бар,Магазины разливного пива; Бары,"улица Пугачёва, 31в",цокольный этаж,610014,Дружба м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-23:00,+03:00,2.3,3,,,,,,,https://vk.com/svetloeitemnoekirov,,,,,,58.575123,49.625661,https://2gis.com/firm/70000001037017089
Накатильня,центр культуры пития,Бары,"улица Мира, 23",цокольный этаж,610044,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,5.0,1,,,,,,,https://vk.com/nakatilnya,,,,,,58.615724,49.614869,https://2gis.com/firm/70000001047668068
Пенная гильдия,бар,Бары,"улица Андрея Упита, 7",1 этаж,610050,Красная горка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,3.8,5,88332262800,89005262800,,http://пеннаягильдия.рус,,,https://vk.com/magazinbar_pennayagildiya,,,,,,58.605534,49.590742,https://2gis.com/firm/70000001043369505
Varka,бар,Бары,"улица Ленина, 190",1 этаж,610007,Зональный м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+03:00,2.0,4,,,,,,,,,,,,,58.572089,49.68567,https://2gis.com/firm/70000001052435836
7 Пятниц,бар,Бары; Быстрое питание,"улица Физкультурников, 6",1 этаж,610033,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,,,89823821586,89127142820,,,,,,,,,,,58.611218,49.62757,https://2gis.com/firm/70000001039718262
Огонь да мясо,бар,Бары; Кафе; Банкетные залы; Доставка готовых блюд,"улица Челюскинцев, 7",,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00,+03:00,5.0,6,,,,,,,,,,,,,58.578097,49.640043,https://2gis.com/firm/70000001047965030
Тортуга,бар,Бары; Банкетные залы; Кафе,"Приозёрная улица, 18",,610007,Вересники м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+03:00,5.0,1,89635505579,,,,,,https://vk.com/bar_tortuga_kirov,,,,,,58.57808,49.695433,https://2gis.com/firm/70000001024949366
Beerloga,бар,Бары,"улица Ломоносова, 37а",цокольный этаж,610033,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 06:00-23:00; Вс: 06:00-23:00,+03:00,1.7,3,,,,,,,,,,,,,58.603673,49.609945,https://2gis.com/firm/70000001034146961
Бар встречи,,Бары,"улица Чапаева, 50",цокольный этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,,,,,,,,,,,,,,,58.579983,49.648563,https://2gis.com/firm/8163302605592949
Garage,бар,Бары; Быстрое питание,"улица Чернышевского, 7",цокольный этаж,610016,ОЦМ м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,,,,,,,,,,,,,,,58.628491,49.628482,https://2gis.com/firm/70000001042890743
Волна,бар,Бары,"улица Ленина, 179а",1 этаж,610007,Зональный м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,5.0,5,,,,,,,,,,,,,58.576293,49.683611,https://2gis.com/firm/8163302605587819
Светлое & Темное,магазин-бар,Магазины разливного пива; Снековая продукция; Бары,"улица Потребкооперации, 36",,610014,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-23:00,+03:00,,,89127377866,,,,,,,,,,,,58.561154,49.622426,https://2gis.com/firm/70000001066298093
Дымка,бар,Бары; Быстрое питание,"Комсомольская улица, 42",3 этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,,58.578823,49.651333,https://2gis.com/firm/70000001033230636
Хорс,бар,Бары,"улица Лепсе, 77",1 этаж,610044,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 06:00-23:00; Вс: 06:00-23:00,+03:00,,,,,,,,,,,,,,,58.610063,49.617375,https://2gis.com/firm/8163303606068498
Сафари,бар,Бары,"улица Мира, 44а",,610044,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:30-24:00; Вт: 06:30-24:00; Ср: 06:30-24:00; Чт: 06:30-24:00; Пт: 06:30-02:00; Сб: 06:30-02:00; Вс: 06:30-24:00,+03:00,5.0,1,,,,,,,,,,,,,58.612787,49.611166,https://2gis.com/firm/8163303606068401
70,бар,Бары; Быстрое питание,"Северо-Садовая улица, 2",1 этаж,610042,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,2,,,,,,,,,,,,,58.620632,49.6256,https://2gis.com/firm/70000001023137625
АвтоПорт,кафе,Кафе; Банкетные залы; Бары,"трасса Киров-Котельнич, 2а",1 этаж,613635,,,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,5.0,13,88332440606,88332661111,,http://cafe.motor92.ru,,,https://vk.com/avtoport43,,,,,,58.681987,49.641601,https://2gis.com/firm/8163302605586893
Пивной бар,,Рюмочные; Бары,"улица Лепсе, 35",,610044,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00; Вс: 07:00-21:00,+03:00,3.0,1,88332532705,,,,,,,,,,,,58.614803,49.62512,https://2gis.com/firm/8163302605587555
Бегемот,пивной бар,Бары; Быстрое питание,"улица Кольцова, 11",цокольный этаж,610050,Красная горка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,1.0,4,88332511159,,,,,,,,,,,,58.605974,49.597131,https://2gis.com/firm/70000001006427716
Бладбахер,бар,Бары; Кафе,"проспект Строителей, 5",1 этаж,610010,мкр. Радужный,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Чт: 18:00-02:00; Пт: 18:00-05:00; Сб: 18:00-05:00; Вс: 18:00-02:00,+03:00,3.0,3,88332745735,,,,,,https://vk.com/bladbaherradyzhny,,,,,,58.502928,49.653546,https://2gis.com/firm/70000001034866813
Кафе-бар,,Кафе; Бары,"улица Сурикова, 40",цокольный этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,3.0,4,,,,,,,,,,,,,58.580816,49.638757,https://2gis.com/firm/8163303606041036
Кочегарка,бар,Бары; Кафе; Банкетные залы,"Советская улица, 11г/1",1 этаж,610008,,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+03:00,5.0,4,88332219988,,,,,,https://vk.com/kochegarka_rf,,,,,,58.514083,49.68938,https://2gis.com/firm/70000001007265479
Мстители,бар,Бары; Быстрое питание,"улица Некрасова, 71 ст3",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-16:00; Вт: 09:00-16:00; Ср: 09:00-16:00; Чт: 09:00-16:00; Пт: 09:00-16:00,+03:00,3.0,1,89823820188,,,,,,,,,,,,58.584011,49.614871,https://2gis.com/firm/70000001051310644
7 Пятниц,бар,Бары; Быстрое питание,"улица Риммы Юровской, 7",1 этаж,610045,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,2,89823821586,89127142820,,,,,,,,,,,58.588136,49.594291,https://2gis.com/firm/70000001047011321
Фортуна,кафе-шашлычная,Бары; Быстрое питание,"улица Потребкооперации, 22",1 этаж,610014,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,5.0,2,,,,,,,https://vk.com/fortuna_43,,,,,,58.564715,49.6229,https://2gis.com/firm/70000001035104832
Why_not,лаундж-бар,Бары,"улица Сутырина, 5",цокольный этаж,610047,Филейка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 15:00-23:00; Вт: 15:00-23:00; Ср: 15:00-23:00; Чт: 15:00-23:00; Пт: 15:00-23:00; Сб: 15:00-23:00; Вс: 15:00-23:00,+03:00,,,89531356564,,,,,,https://vk.com/bar_why_not,https://wa.me/79229467364,https://wa.me/79531356564,,,,58.642431,49.612638,https://2gis.com/firm/70000001044463306
На горке,кафе,Быстрое питание; Бары,"улица Андрея Упита, 3",1 этаж,610050,Красная горка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,2.2,5,88332461665,88332522142,,,,,,,,,,,58.606816,49.591388,https://2gis.com/firm/8163302605590706
Баня,бар,Бары; Быстрое питание,"улица Павла Корчагина, 82Б",,610030,Коминтерн м-н,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 06:00-23:00,+03:00,,,,,,,,,,,,,,,58.644571,49.722496,https://2gis.com/firm/70000001066005554
