Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,ВКонтакте,WhatsApp,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Ниагара,оздоровительный центр,Бани / Сауны,"улица Володарского, 135",цокольный этаж,610017,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,5,89229751415,88332751415,,,,,https://vk.com/saunaniagara,https://wa.me/79229751415,viber://chat/?number=79229751415,https://t.me/saunaniagara,,58.596944,49.672731,https://2gis.com/firm/8163303606105619
Бани у Сани,банный комплекс,Бани / Сауны,"территория СТ Железнодорожник-Радужный, 27",,,СТ Железнодорожник-Радужный,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.0,7,88332758788,88332422240,89539458788,,http://бани-у-сани.рф,,,https://wa.me/79539458788,viber://chat/?number=79539458788,,,58.491854,49.647468,https://2gis.com/firm/70000001035495988
Никулёнки,база отдыха,Базы отдыха; Бани / Сауны; Аренда беседок,"деревня Никулёнки, 18Б",,610926,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332492173,89226612173,,,,,https://vk.com/nikulenki43,https://wa.me/79226612173,,,,58.530192,49.609555,https://2gis.com/firm/70000001041252395
Агат,сауна,Бани / Сауны,"Стахановская улица, 31",1 этаж,610047,ОЦМ м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.7,6,88332439898,,,,,,https://vk.com/agatkirov,https://wa.me/78332439898,viber://chat/?number=78332439898,,,58.630278,49.622161,https://2gis.com/firm/70000001022720206
Народная,сауна,Бани / Сауны,"Загородная улица, 3/1",2 этаж,610046,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,4,89005265837,,,,http://sauna-43.ru,,https://vk.com/caynanarodnaya,,,,,58.608812,49.648266,https://2gis.com/firm/70000001007339244
Сказка,семейная баня,Бани / Сауны,"улица Павла Корчагина, 19",,610030,Коминтерн м-н,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89005288104,,,,http://vk.link/skazkabanya200661550,,https://vk.com/skazkabanya200661550,https://wa.me/79005288104,,,,58.634049,49.734747,https://2gis.com/firm/70000001047739808
Дружбаня,сауна,Бани / Сауны,"улица Щорса, 23а",,610014,Дружба м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.0,6,88332777759,,,,,,https://vk.com/saunawomen,,,,,58.578028,49.634131,https://2gis.com/firm/8163302605588806
У танка,сауна,Бани / Сауны,"Октябрьский проспект, 93а",,610005,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,4,88332776477,89229776477,,,,,https://vk.com/saunautanka,,,,,58.615463,49.654127,https://2gis.com/firm/8163302605592784
7 Холмов,баня,Бани / Сауны,"улица Молодой Гвардии, 84г",цокольный этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,1,88332547133,,,,http://7-holmov.ru,,https://vk.com/club73158436,,,,,58.597191,49.652258,https://2gis.com/firm/70000001066780637
Пингвин,сауна,Бани / Сауны,"улица Бородулина, 2в",1 этаж,610025,Новый м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.7,3,88332780794,88332670965,,,,,,,,,,58.579412,49.665672,https://2gis.com/firm/8163302605673659
Латунские бани,подразделение Западные бани,Бани / Сауны,"улица Менделеева, 13",,610050,Красная горка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,"Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (мужские дни: ср, пт, вс; женские дни: чт, сб; касса: ср-пт 09:45-20:00; сб-вс 09:45-20:00)",+03:00,4.0,1,88332517883,,,,http://latunka.ru,,,,,,,58.606052,49.602021,https://2gis.com/firm/8163302605588973
Ленивец,спортивно-банный центр,Бани / Сауны; Базы отдыха,"дорога Порошино-Сидоровка, баня",,,,,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332472090,89128272090,,,,,https://vk.com/banya_lenivec_kirov,https://wa.me/79128272090,,,,58.582019,49.808958,https://2gis.com/firm/70000001035652288
Барская изба,,Бани / Сауны; Аренда коттеджей / гостевых домов,"деревня Сватково, 15а",,610926,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332784070,89226684070,89539487540,,,,https://vk.com/club216526549,,,,,58.536309,49.603977,https://2gis.com/firm/70000001006967402
Сауна,,Бани / Сауны,"улица Молодой Гвардии, 42в",1 этаж,610017,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00 (касса: вт-вс 11:00-20:00),+03:00,,,88332492901,,,,,,,,,,,58.597967,49.670949,https://2gis.com/firm/70000001018447971
Липовая банька на дровах,,Бани / Сауны,"Утренняя улица, 4",,610029,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.7,3,88332757432,89127019151,89539457432,,http://757432.ru,,,https://wa.me/79539457432,,,,58.654314,49.553625,https://2gis.com/firm/70000001019466183
Царь Баня,база отдыха,Базы отдыха; Бани / Сауны,"Новая улица, 14",,613118,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,2,88332450557,,,,,,https://vk.com/tzarbanya,https://wa.me/79229659697,,,,58.631655,49.812622,https://2gis.com/firm/70000001024684676
Макарьевские бани,сауна,Бани / Сауны,"Макарьевская улица, 4",,610018,сл. Макарье,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,88332402440,,,,,,,,,,,58.611545,49.744787,https://2gis.com/firm/8163302605590285
Перестройка,сауна,Бани / Сауны,"Производственная улица, 29/1",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.0,2,88332704645,,,,,,https://vk.com/club191848731,,,,,58.574346,49.608596,https://2gis.com/firm/8163302605591260
Престиж,сауна,Бани / Сауны,"Пристанская улица, 1 к3",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,1,88332353361,,,,,,https://vk.com/sauna_prestig,,,,,58.607471,49.689791,https://2gis.com/firm/8163302605591418
Баунти,сауна,Бани / Сауны,"улица Сурикова, 27",вход со двора; между первым и втором подъездом,610014,Дружба м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,22,89229220996,,,,,,https://vk.com/sauna_baynty_kirov,https://wa.me/79229220996,viber://chat/?number=79229220996,https://t.me/+79229220996,,58.581567,49.637478,https://2gis.com/firm/70000001027009551
Латунские бани,подразделение Бани ОЦМ,Бани / Сауны,"переулок Дружбы, 6",1 этаж,610016,ОЦМ м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,"Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00 (касса: пт-вс 11:45-19:30; мужские дни: пт, вс; женские дни: чт, сб)",+03:00,5.0,1,88332231647,,,,http://latunka.ru,,,,,,,58.63554,49.62559,https://2gis.com/firm/8163302605611070
Дельфин,сауна,Бани / Сауны,"улица Бородулина, 2/1",,610025,Новый м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,3,88332372080,88332780794,,,,,,,,,,58.580104,49.665249,https://2gis.com/firm/8163302605588440
Ульяна,оздоровительный центр,Бани / Сауны,"Ульяновская улица, 2/1",цокольный этаж,610050,Красная горка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.3,4,88332295144,88332464244,,,,,,,,,,58.605449,49.586574,https://2gis.com/firm/8163302605592804
Афродита,сауна,Бани / Сауны,"улица Молодой Гвардии, 96/1",,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,2,88332543536,89229956681,,,,,,,,,,58.597643,49.646111,https://2gis.com/firm/8163302605587398
Заборье,комплекс отдыха,Базы отдыха; Бани / Сауны; Конференц-залы / Переговорные комнаты,"1 км автодороги Киров-Бобино-Сапожнята-Шунки, 1",,613117,,,,Слободской район,Кировская область,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,1.0,2,88332789441,88332462680,,,,,https://vk.com/zaborye462680,,,,,58.65539,49.756037,https://2gis.com/firm/70000001019489154
Динамо,сауна,Бани / Сауны,"Московская улица, 1е",,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,1,88332358011,,,,,,,,,,,58.606384,49.686103,https://2gis.com/firm/8163302605588667
Релакс,сауна,Бани / Сауны,"Пролетарская улица, 17",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,88332774689,88332373670,,,,,,,,,,58.589906,49.676735,https://2gis.com/firm/8163302605591761
Маяк,сауна,Бани / Сауны,"улица Молодой Гвардии, 96/1",,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,1,88332458899,88332544468,,,,,,,,,,58.597641,49.645904,https://2gis.com/firm/8163302605590385
Латунские бани,подразделение Новые бани,Бани / Сауны,"улица 4 Пятилетки, 38",,610025,Новый м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,"Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00 (касса: чт-вс 11:45-19:30; мужские дни: пт, вс; женские дни: чт, сб)",+03:00,3.7,3,88332547309,,,,http://latunka.ru,,,,,,,58.566028,49.652268,https://2gis.com/firm/8163302605729538
Лесная сказка,загородный комплекс,Базы отдыха; Рестораны; Бани / Сауны; Аренда беседок; Кемпинги,"Лесная улица, 1",,613118,,,,Слободской район,Кировская область,Россия,Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-22:00,+03:00,4.8,5,88332750181,,,,http://сказкакиров.рф,,https://vk.com/restoranskazkakirov,,,,,58.603169,49.90169,https://2gis.com/firm/70000001006374692
Баня для женщин,,Бани / Сауны,"улица Сурикова, 19",1 этаж; левое крыло,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00 (по предварительной записи: пн-вс),+03:00,,,89229030604,,,,,,https://vk.com/vdokhnovenie_zhenshchiny,https://wa.me/79229030604,viber://chat/?number=79229030604,,,58.588125,49.636351,https://2gis.com/firm/70000001056729019
Латунские бани,подразделение Нововятские бани,Бани / Сауны,"улица Орджоникидзе, 1",,610008,,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пт: 13:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+03:00,4.0,1,88332706347,,,,http://latunka.ru,,,,,,,58.509259,49.694726,https://2gis.com/firm/8163302605611073
Нева,сауна,Бани / Сауны,"переулок Дружбы, 6а",,610016,ОЦМ м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,5,88332245051,,,,,,,,,,,58.635674,49.62574,https://2gis.com/firm/8163302605590757
Яхт Клуб Альбатрос,баня,Бани / Сауны; Лодочные станции,"Миронов луг, 1",,,Филейка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,3,88332467653,89630004846,,,,,,https://wa.me/79630004846,,,,58.647316,49.633156,https://2gis.com/firm/70000001019468865
Алиса,сауна,Бани / Сауны,"Заводская улица, 41",1 этаж,610004,,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,2,88332217179,,,,,,,,,,,58.621568,49.681419,https://2gis.com/firm/8163303606091606
Радужный,сауна,Бани / Сауны,"Производственная улица, 1",1 этаж,610010,мкр. Радужный,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332306910,,,,,,,,,,,58.499305,49.650093,https://2gis.com/firm/8163302605591979
Общественная баня,,Бани / Сауны,"улица Павла Корчагина, 82Б",,610030,Коминтерн м-н,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,"Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (мужские дни: пт, вс; женские дни: сб)",+03:00,5.0,1,89229172701,,,,,,,,,,,58.644492,49.722354,https://2gis.com/firm/70000001027605210
Причал,сауна,Бани / Сауны,"Заводская улица, 41а","1, 2 этаж",610004,,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.0,4,88332357135,88332444008,89127344008,,,,https://vk.com/prichal43,https://wa.me/79127344008,viber://chat/?number=79127344008,,,58.621092,49.681324,https://2gis.com/firm/8163303606031470
Трио,сауна,Бани / Сауны,"улица Свободы, 170а",,610002,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.3,3,88332787257,,,,,,,,,,,58.583209,49.681292,https://2gis.com/firm/8163302605592760
Аквамарин,сауна,Бани / Сауны; Аренда беседок,"Луганская улица, 47а/5",,610044,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.1,10,89229106995,,,,,,https://vk.com/akvamarin43,https://wa.me/79536812699,,https://t.me/akva555,,58.628496,49.58931,https://2gis.com/firm/8163302605587040
Комфорт,оздоровительный комплекс,Бани / Сауны; Соляные комнаты; Тонизирующие салоны,"Комсомольская улица, 40а/3",,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00 (по предварительной записи: пн-вс),+03:00,3.0,2,88332423500,,,,http://комфорт-ок.рф,,,,,,,58.580716,49.65926,https://2gis.com/firm/70000001019427641
Баня,бар,Бары; Быстрое питание,"улица Павла Корчагина, 82Б",,610030,Коминтерн м-н,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 06:00-23:00,+03:00,,,,,,,,,,,,,,58.644571,49.722496,https://2gis.com/firm/70000001066005554
У Медведа,сауна,Бани / Сауны,"улица 4 Пятилетки, 38",,610025,Новый м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.0,7,88332745447,89642565447,,,,,https://vk.com/parumedveda,,,,,58.565962,49.651928,https://2gis.com/firm/70000001045538850
Общественные Макарьевские Бани,,Бани / Сауны,"Проезжая улица, 39а",,610018,сл. Макарье,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.0,3,88332263388,89005263388,,,,,https://vk.com/makarbani43,,,,,58.614795,49.753269,https://2gis.com/firm/70000001023156695
Тортила,банно-оздоровительный комплекс,Бани / Сауны,"улица Менделеева, 11",цокольный этаж,610050,Красная горка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,,,,,,,,,,,,58.607128,49.596739,https://2gis.com/firm/8163302605592726
Лагуна,сауна,Бани / Сауны,"улица Дерендяева, 80д",1 этаж,610027,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332789093,88332371733,,,,,https://vk.com/club138011159,,,,,58.594612,49.664145,https://2gis.com/firm/8163302605590075
Наследие,база отдыха,Базы отдыха; Аренда беседок; Бани / Сауны,"Орловская улица, 52",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-16:00",+03:00,,,88332640869,89123699077,,,http://nasledie43.ru,,,,,,,58.595875,49.66947,https://2gis.com/firm/8163302605613869
Шихово,банный комплекс,Бани / Сауны,"Центральная улица, 16",,613118,,,,Слободской район,Кировская область,Россия,,+03:00,5.0,1,89123302195,,,,,,https://vk.com/banyashihovo,,,,,58.634418,49.838442,https://2gis.com/firm/70000001007102340
Barbie,сауна,Бани / Сауны,"улица Воровского, 14",цокольный этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.4,5,88332455919,89229955919,,,,,,https://wa.me/79229955919,viber://chat/?number=79229955919,https://t.me/barbie,,58.593763,49.677942,https://2gis.com/firm/8163302605594158
Bahama Mama`s,сауна,Бани / Сауны,"Профсоюзная улица, 44",,610004,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,3,88332453453,89229223453,,,,,https://vk.com/bahamamam,,,,,58.614565,49.674325,https://2gis.com/firm/70000001062874595
На Пристанской,гостиничный комплекс,Бани / Сауны,"Пристанская улица, 9в",,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332351010 (единая справочная: круглосуточно),89127216911 (единая справочная: круглосуточно),,,http://гостиница-баня.рф,,https://vk.com/club119467018,,,,,58.605512,49.690414,https://2gis.com/firm/8163302605743296
Усадьба банная,сауна,Бани / Сауны,"Советская улица, 50Б",,610008,,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00 (по предварительной записи: пн-вс),+03:00,,,89014798098,88332798098,,,,,https://vk.com/club171918594,,,,,58.50657,49.709845,https://2gis.com/firm/8163302605592898
Замок Камелот,центр отдыха,Бани / Сауны,"Парковая улица, 5а/1",,610926,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332506060,,,,,,,,,,,58.553331,49.643806,https://2gis.com/firm/70000001019478663
Баня на дровах,,Бани / Сауны,"территория СТ Школьный, 7",,610913,СТ Школьный,,,Киров городской округ,Кировская область,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00 (по предварительной записи: пн-вс),+03:00,3.3,3,89226685656,,,,,,https://vk.com/banyakirov,,,,,58.599641,49.568367,https://2gis.com/firm/70000001037658407
Фортуна,Баня,Бани / Сауны,"улица Потребкооперации, 22",1 этаж,610014,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,2.0,1,88332752114,,,,,,https://vk.com/fortuna_43,,,,,58.564715,49.6229,https://2gis.com/firm/70000001049180566
Спутник,баня,Бани / Сауны,"улица Свердлова, 31",,610047,Филейка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,,,88002001043,88332711731 (служба бронирования),,,http://sputnik-kirov.ru,,https://vk.com/sputnik.kirov43,,,,,58.638544,49.623722,https://2gis.com/firm/70000001066782350
Shishki camp,баня на дровах,Бани / Сауны,"деревня Сунчиха, Фулл хаус",,613006,,,,Кирово-Чепецкий район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,1,88332424445,,,,,,https://vk.com/shishki_camp424445,,,,,58.4848,49.649312,https://2gis.com/firm/70000001019468463
Дубровский,банный комплекс,Бани / Сауны,"Боровицкая улица, 36Б/3",,610902,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,25,88332425425 (единая справочная: круглосуточно),88332732598 (единая справочная: круглосуточно),89229932598 (единая справочная: круглосуточно),,http://hotel-kirov.ru,http://parkdubrovsky.ru,https://vk.com/poroshino,https://wa.me/79229932598,viber://chat/?number=79229932598,,,58.607805,49.811856,https://2gis.com/firm/70000001035769776
